(Parent) ASIN,(Child) ASIN,Title,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,Units refunded,Units refunded – B2B,Refund Rate,Refund rate – B2B,Shipped product sales,Shipped Product Sales – B2B,Units shipped,Units Shipped – B2B,Orders shipped,Orders Shipped – B2B
B00OI2VV22,B00K67K2EQ,"L'Oréal Paris Mascara Volume Million Lashes So Couture, Silky Black",909,8,788,28,"1,697",36,0.06%,0.09%,0.11%,0.38%,0.07%,0.23%,"1,361",10,996,41,"2,357",51,0.07%,0.09%,0.10%,0.40%,0.08%,0.24%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00KG83D5K,B00KG83D5K,"3 x Max Factor Pan Stik Foundation, 96 Bisque Ivory, (9g), Brand New",19,0,14,0,33,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24,0,18,0,42,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0CFBF8P7R,B00KG856V4,"2 x Max Factor, Lasting Performance Foundation, 108 Honey Beige, (35ml), New",12,0,12,0,24,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15,0,12,0,27,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£24.98,£0.00,2,0,1,0
B00KG85ENY,B00KG85ENY,3 x Max Factor Lasting Performance Weightless Feel Foundation 101 Ivory Beige,6,0,5,0,11,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,0,8,0,15,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0C5J3LWFK,B00KG892OG,"Bourjois 123 PERFECT liquid foundation, 055 Beige Fonce, 30 ml",28,0,16,0,44,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,32,0,23,0,55,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B08HQQX815,B00KG8BL1S,"3 x Max Factor Pan Stik Foundation, 14 Cool Copper, 9g,",127,2,115,6,242,8,0.01%,0.02%,0.02%,0.08%,0.01%,0.05%,165,2,140,6,305,8,0.01%,0.02%,0.01%,0.06%,0.01%,0.04%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B00KG8BM8K,B00KG8BM8K,"3 x Max Factor Pan Stik Foundation, 25 Fair, (9g), Brand New",3,0,2,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,2,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B089HHRHDX,B00KOQNVM4,Revlon Colorstay Gel Envy Diamond Top Coat Nail Polish,143,1,92,0,235,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,184,2,122,0,306,2,0.01%,0.02%,0.01%,0.00%,0.01%,0.01%,0.70%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B07WNK9DXS,B00KRDSJZ8,"Katy Perry Royal Revolution Eau de Parfum for Women, 100ml (pack of 1)",324,1,146,0,470,1,0.02%,0.01%,0.02%,0.00%,0.02%,0.01%,430,1,191,0,621,1,0.02%,0.01%,0.02%,0.00%,0.02%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B084LFM6HT,B00LA4YD3U,Maybelline Mascara Colossal Lengthening & volumizing Express Smoky Black,579,1,339,5,918,6,0.04%,0.01%,0.05%,0.07%,0.04%,0.04%,727,1,424,8,"1,151",9,0.04%,0.01%,0.04%,0.08%,0.04%,0.04%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
