(Parent) ASIN,(Child) ASIN,Title,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,Units refunded,Units refunded – B2B,Refund Rate,Refund rate – B2B,Shipped product sales,Shipped Product Sales – B2B,Units shipped,Units Shipped – B2B,Orders shipped,Orders Shipped – B2B
B077ZVXWQD,B01872E5SK,"Technic Eyebrow Pencil, Definer & Sharpener-Brown, 1 count (8 g), Unisex, Brown, Natural Finish, Box",0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,1,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B08HQQX815,B018RFKOM8,"3 x Max Factor, Pan Stik Foundation, 13 Nouveau Beige, 9g by Proctor and Gamble",160,1,133,4,293,5,0.01%,0.01%,0.02%,0.05%,0.01%,0.03%,183,2,171,4,354,6,0.01%,0.02%,0.02%,0.04%,0.01%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0GVGL4VBX,B018WGKDMS,"L'Oréal Paris True Match Foundation, SPF16, Shade 4W Golden Natural 30ml","3,248",19,"1,529",11,"4,777",30,0.21%,0.22%,0.21%,0.15%,0.21%,0.19%,"4,067",26,"1,903",14,"5,970",40,0.20%,0.23%,0.20%,0.14%,0.20%,0.19%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B086BGM193,B019OB5NPM,"Sally Hansen Miracle Gel, Totem-Ly Yours, Gel-Like Nail Polish, NO UV Light Required, Chip-Resistant, Long Lasting - Up to 8 days, Easy to Use, Salon Quality Results, Vegan Formula, 14.7ml",260,1,132,0,392,1,0.02%,0.01%,0.02%,0.00%,0.02%,0.01%,287,1,158,0,445,1,0.01%,0.01%,0.02%,0.00%,0.01%,0.00%,1.14%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B086CNHVDF,B019W17T0Q,"L'Oréal Paris Magic Retouch Temporary Root Touch Up Spray, Dark Brown 75ml","1,128",11,454,0,"1,582",11,0.07%,0.13%,0.06%,0.00%,0.07%,0.07%,"1,509",12,604,0,"2,113",12,0.07%,0.11%,0.06%,0.00%,0.07%,0.06%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B01A5PCSJK,B01A5PCSJK,"L'Oreal Paris Day Cream Age Perfect Golden Age, Rosy Radiance 50ml","1,136",4,797,6,"1,933",10,0.07%,0.05%,0.11%,0.08%,0.08%,0.06%,"1,616",4,"1,066",6,"2,682",10,0.08%,0.04%,0.11%,0.06%,0.09%,0.05%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B01AY5UCGC,B01AY5UCGC,"Elizabeth Arden Grand Entrance Mascara, Black 8.5 ml (Pack of 1)",280,0,245,2,525,2,0.02%,0.00%,0.03%,0.03%,0.02%,0.01%,367,0,314,2,681,2,0.02%,0.00%,0.03%,0.02%,0.02%,0.01%,0.16%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0H71CH2SV,B01B504EIW,Stargazer Lip Stain Pen - Coral Orange Shade 07 | Long Lasting Lip Colour | Lightweight Transfer Resistant Tint | Smooth Precision Application,108,1,50,0,158,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,134,1,71,0,205,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.00%,6.38%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0DLDGML8H,B01BI54DLW,"Catrice Allround Mascara Ultra Black, volumizing, curling, ultra black, matte (11ml)",221,1,65,1,286,2,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,264,1,90,1,354,2,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0GVGL4VBX,B01BNCWQHS,"L'Oréal Paris True Match Foundation, with SPF16, in Shade 1.5N Linen","3,916",19,"1,798",4,"5,714",23,0.25%,0.22%,0.25%,0.05%,0.25%,0.14%,"4,754",20,"2,203",6,"6,957",26,0.23%,0.18%,0.23%,0.06%,0.23%,0.12%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0GVGL4VBX,B01BNCWVS2,"L'Oréal Paris True Match Foundation, SPF16, Shade 3N Creamy Beige 30ml","5,471",37,"2,331",21,"7,802",58,0.35%,0.43%,0.32%,0.29%,0.34%,0.36%,"6,960",41,"2,985",35,"9,945",76,0.34%,0.37%,0.31%,0.35%,0.33%,0.36%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
