(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0H4YG8HFN,B00MGK9Q0C,"Rimmel Extra 3D Lash Volumising Mascara, 8 ml (Pack of 1), Black",RIM-MSC-E3DL-003_SNL,"8,115",39,"2,924",21,"11,039",60,0.85%,0.74%,0.69%,0.51%,0.80%,0.64%,"10,461",53,"3,682",34,"14,143",87,0.84%,0.77%,0.66%,0.59%,0.78%,0.69%,26.98%,0.00%,"2,933",0,26.57%,0.00%,"£10,762.43",£0.00,"2,774",0
B01C2SZGUG,B001KYVX2E,"RIMMEL LONDON - Extra Super Lash Building Mascara - Defines, Lengthen & Curl Lashes - With Hydrogel For Healthy Looking Finish - Enriched With Vitamin E - No Clumping - 101 Black Black",RIM-MSC-ESL-101_SNL,"4,443",17,"2,131",19,"6,574",36,0.46%,0.32%,0.51%,0.46%,0.48%,0.38%,"5,569",19,"2,709",24,"8,278",43,0.44%,0.28%,0.48%,0.42%,0.46%,0.34%,34.04%,0.00%,"2,194",4,33.37%,11.11%,"£8,492.68",£15.74,"2,053",1
B0H4F2L52Y,B004M9L0WW,"RIMMEL LONDON - Stay Matte Pressed Powder - Lightweight, Oil Absorbing, Smooth Non-Powdery Texture, Lasting Up To 5hrs - For All Skin Types - Dermatologically Tested - Transparent - 14g",RIM-SMPP-001_SNL,"16,068",83,"6,120",64,"22,188",147,1.67%,1.57%,1.45%,1.56%,1.61%,1.57%,"21,024",111,"8,091",78,"29,115",189,1.68%,1.61%,1.44%,1.35%,1.61%,1.49%,6.60%,0.00%,"1,442",0,6.50%,0.00%,"£5,672.17",£0.00,"1,341",0
B0H792Q1DQ,B001V9LB9I,"Rimmel Eyebrow Pencil, 1.4 g - Dark Brown",RIM-EBP-DRKBRW_SNL,"5,823",47,"2,679",30,"8,502",77,0.61%,0.89%,0.64%,0.73%,0.62%,0.82%,"7,513",56,"3,625",40,"11,138",96,0.60%,0.81%,0.65%,0.69%,0.61%,0.76%,15.72%,2.08%,"1,449",0,17.04%,0.00%,"£5,278.50",£0.00,"1,239",0
B01MY0VGTE,B01MY0VGTE,"Rimmel Extra Long Lash Mascara, Extreme Black, 8ml",RIM-MSC-ELL-003_SNL,"1,416",10,461,2,"1,877",12,0.15%,0.19%,0.11%,0.05%,0.14%,0.13%,"1,742",11,565,2,"2,307",13,0.14%,0.16%,0.10%,0.03%,0.13%,0.10%,62.11%,0.00%,"1,158",2,61.69%,16.67%,"£4,546.60",£7.66,"1,087",2
B01C2SZGUG,B001V9LB4I,"Rimmel Extra Super Lash Mascara, Brown Black, 8ml",RIM-MSC-ESL-102_SNL,"1,579",3,822,11,"2,401",14,0.16%,0.06%,0.20%,0.27%,0.17%,0.15%,"2,026",3,"1,074",12,"3,100",15,0.16%,0.04%,0.19%,0.21%,0.17%,0.12%,55.79%,0.00%,"1,126",0,46.90%,0.00%,"£4,153.23",£0.00,"1,022",0
B07H8L1DFZ,B07H8L1DFZ,"Rimmel Glam'eyes Professional Liquid Eye Liner, Black Glamour",RIM-GLAMEYES-LL-001-V3_SNL,"1,482",10,598,4,"2,080",14,0.15%,0.19%,0.14%,0.10%,0.15%,0.15%,"1,999",14,778,5,"2,777",19,0.16%,0.20%,0.14%,0.09%,0.15%,0.15%,41.78%,36.36%,974,5,46.83%,35.71%,"£3,888.24",£19.25,876,4
B0G6VRMSWW,B0742CVQW4,"RIMMEL LONDON - Scandal'eyes Eyeliner - Waterproof Khol - 24hr Wear, Smudge-proof - Ultra Smooth & Creamy Formula - High Intensity Colour - 001 Black - 1.3g",RIM-SCD-EL-WP-001_SNL,"4,145",30,"1,714",13,"5,859",43,0.43%,0.57%,0.41%,0.32%,0.42%,0.46%,"5,396",36,"2,278",18,"7,674",54,0.43%,0.52%,0.41%,0.31%,0.42%,0.43%,24.91%,0.00%,902,0,15.40%,0.00%,"£3,702.06",£0.00,767,0
B0H4YCPBRN,B08CFSS35N,"Rimmel Lasting Finish 8HR Lip Liner, Cappuccino, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g",RIM-LASTLIP-705_SNL,"18,682",96,"7,397",46,"26,079",142,1.95%,1.81%,1.76%,1.12%,1.89%,1.51%,"24,940",131,"10,300",66,"35,240",197,1.99%,1.90%,1.83%,1.14%,1.94%,1.56%,12.60%,0.00%,754,0,2.89%,0.00%,"£2,827.01",£0.00,714,0
B0H4F2L52Y,B006EHWDEE,"Rimmel Stay Matte Pressed Powder, Silky Beige, 14g",RIM-SMPP-005_SNL,"5,749",24,"2,126",16,"7,875",40,0.60%,0.45%,0.50%,0.39%,0.57%,0.43%,"7,304",30,"2,750",19,"10,054",49,0.58%,0.44%,0.49%,0.33%,0.55%,0.39%,10.33%,0.00%,615,0,7.81%,0.00%,"£2,437.04",£0.00,570,0
B0H3KCT69C,B001VNCA0S,"MAX FACTOR - False Lash Effect Mascara - Volumising Formula, Pro-Vitamin B5, Clump-Free, Flake-Free, Smudge-Proof - 01 Black - 13.1ml",MF-FLE-BLACK_SNL,"10,275",53,"3,932",48,"14,207",101,1.07%,1.00%,0.93%,1.17%,1.03%,1.08%,"12,588",63,"4,899",63,"17,487",126,1.01%,0.92%,0.87%,1.09%,0.96%,1.00%,4.44%,6.52%,510,5,3.59%,4.95%,"£3,330.65",£32.66,484,4
B00NQN4KOK,B00NQN4KOK,"Rimmel Extra Super Lash Mascara, Black-Black 0.27 oz by Rimmel",RIM-MSC-ESL-101-V3_SNL,406,1,200,2,606,3,0.04%,0.02%,0.05%,0.05%,0.04%,0.03%,511,1,252,2,763,3,0.04%,0.01%,0.04%,0.03%,0.04%,0.02%,77.72%,100.00%,517,0,85.31%,0.00%,"£1,932.56",£0.00,459,0
B0H792Q1DQ,B076F3Z9DL,"Rimmel London Eyebrow Pencil, Black Brown",RIM-EBP-BLKBRW_SNL,"3,651",29,"1,632",23,"5,283",52,0.38%,0.55%,0.39%,0.56%,0.38%,0.55%,"4,590",37,"2,124",30,"6,714",67,0.37%,0.54%,0.38%,0.52%,0.37%,0.53%,13.72%,0.00%,552,0,10.45%,0.00%,"£2,124.98",£0.00,449,0
B071Z2XMT8,B01MQRG9E4,"Rimmel London BB Cream with Brightening Effect, Light, 30ml, Pink",RIM-BBCREAM-LIGHT_SNL,"1,346",4,557,6,"1,903",10,0.14%,0.08%,0.13%,0.15%,0.14%,0.11%,"1,844",9,762,8,"2,606",17,0.15%,0.13%,0.14%,0.14%,0.14%,0.13%,65.22%,100.00%,461,1,24.22%,10.00%,"£2,904.98",£5.94,428,1
B00NA0D8TC,B01LTHN2WA,"Rimmel 100% Waterproof Long-lasting Mascara, Black, 8ml",RIM-100WP-BLK_SNL,"2,926",12,"1,166",9,"4,092",21,0.30%,0.23%,0.28%,0.22%,0.30%,0.22%,"3,714",17,"1,549",12,"5,263",29,0.30%,0.25%,0.28%,0.21%,0.29%,0.23%,13.87%,0.00%,459,0,11.22%,0.00%,"£2,241.89",£0.00,423,0
B0H3NLP3ZK,B07X783M9Q,"Rimmel London Brow Pro Micro Ultra-Fine Precision Pencil & Brush, Natural-looking Defined Brows, Soft Brown, 0.03 g",RIM-MBP-002_SNL,"2,267",9,953,15,"3,220",24,0.24%,0.17%,0.23%,0.37%,0.23%,0.26%,"2,776",11,"1,234",21,"4,010",32,0.22%,0.16%,0.22%,0.36%,0.22%,0.25%,13.29%,35.29%,491,2,15.25%,8.33%,"£2,398.96",£9.76,423,2
B0B3SMR3L3,B00MGK9Q9S,"Rimmel London Brow This Way Brow Sculpting Kit, Dark Brown,wax: 1,1g, Powder 1,3g",RIM-BTW-BSK-DRKBRW_SNL,"3,466",19,"1,286",8,"4,752",27,0.36%,0.36%,0.31%,0.20%,0.34%,0.29%,"4,979",32,"1,819",13,"6,798",45,0.40%,0.46%,0.32%,0.23%,0.37%,0.36%,19.85%,45.83%,381,2,8.02%,7.41%,"£1,710.21",£8.50,375,2
B0H4F2L52Y,B006EHWCUE,"Rimmel Stay Matte Pressed Powder, Pink Blossom, 14g",RIM-SMPP-002_SNL,"2,047",9,907,8,"2,954",17,0.21%,0.17%,0.22%,0.20%,0.21%,0.18%,"2,468",11,"1,126",12,"3,594",23,0.20%,0.16%,0.20%,0.21%,0.20%,0.18%,33.11%,14.29%,470,0,15.91%,0.00%,"£1,704.85",£0.00,360,0
B0H3P2DKDH,B01J1A1KNK,"Rimmel London Scandaleyes Reloaded Volumising Mascara, 12ml",RIM-MSC-SCAND-RL-001_SNL,604,1,325,5,929,6,0.06%,0.02%,0.08%,0.12%,0.07%,0.06%,728,1,422,6,"1,150",7,0.06%,0.01%,0.08%,0.10%,0.06%,0.06%,54.02%,100.00%,340,1,36.60%,16.67%,"£1,762.60",£5.17,325,1
B01M0M1D7R,B09N2YW2T6,"Max Factor Crème Puff Pressed Powder, 05 Translucent, 14g",MF-CP-RLCH-05_SNL,"2,496",11,"1,438",13,"3,934",24,0.26%,0.21%,0.34%,0.32%,0.28%,0.26%,"3,326",13,"1,999",15,"5,325",28,0.27%,0.19%,0.36%,0.26%,0.29%,0.22%,18.47%,15.38%,329,2,8.36%,8.33%,"£1,875.30",£11.40,291,2
B07NDVQ2FK,B07NDVQ2FK,TUHIMO Oxidant Liquid Developer 100ml RefectoCil,REFCIL-LIQ-OXIDANT_SNL,"1,312",16,550,3,"1,862",19,0.14%,0.30%,0.13%,0.07%,0.13%,0.20%,"1,731",22,718,4,"2,449",26,0.14%,0.32%,0.13%,0.07%,0.14%,0.21%,22.79%,57.14%,294,4,15.79%,21.05%,"£2,149.24",£28.76,287,4
B0H4YF8BP1,B001KYTULU,"Rimmel Soft Kohl Kajal Professional Eyeliner Pencil, Intense Long-Lasting Colour, Up to 12 Hours Wear, Smudge Proof, 1.2 grams, Jet Black",RIM-ELP-061_SNL,"11,873",68,"5,330",46,"17,203",114,1.24%,1.29%,1.27%,1.12%,1.25%,1.21%,"15,187",93,"7,015",62,"22,202",155,1.21%,1.35%,1.25%,1.08%,1.22%,1.23%,2.41%,3.39%,310,0,1.80%,0.00%,£929.35,£0.00,281,0
B01C2U97IQ,B001V9LBG6,"Rimmel London Hide The Blemish Concealer, 4 Natural Beige, 4.5 g, (Pack of 1)",RIM-HTB-004_SNL,"1,557",6,899,9,"2,456",15,0.16%,0.11%,0.21%,0.22%,0.18%,0.16%,"2,074",7,"1,244",10,"3,318",17,0.17%,0.10%,0.22%,0.17%,0.18%,0.13%,20.67%,8.33%,293,1,11.93%,6.67%,"£1,252.98",£4.28,259,1
B0BXWHBJ7Q,B0017UAMC8,RefectoCil Cream Hair Dye - 2 Blue Black 15ml,REFCIL-EBT-BLUEBLK_SNL,875,12,449,3,"1,324",15,0.09%,0.23%,0.11%,0.07%,0.10%,0.16%,"1,159",15,603,4,"1,762",19,0.09%,0.22%,0.11%,0.07%,0.10%,0.15%,40.25%,10.00%,248,8,18.73%,53.33%,"£1,467.87",£47.52,234,6
B0H4YCPBRN,B08CFMTMK6,"Rimmel Lasting Finish 8HR Lip Liner, 90's Nude, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g",RIM-LASTLIP-760_SNL,"13,921",75,"5,514",37,"19,435",112,1.45%,1.42%,1.31%,0.90%,1.41%,1.19%,"18,393",95,"7,661",52,"26,054",147,1.47%,1.38%,1.36%,0.90%,1.44%,1.16%,5.76%,0.00%,220,0,1.13%,0.00%,£841.66,£0.00,214,0
B0H3JJJG2P,B07D8VQG87,"Rimmel London Maxi Blush Powder, Exposed, Long Lasting Pigmented Colour, Light Weight Formula, Easy To Blend and Buildable, 9g",RIM-MAXI-BLUSH-006_SNL,"5,649",23,"2,180",14,"7,829",37,0.59%,0.43%,0.52%,0.34%,0.57%,0.39%,"8,048",34,"3,185",20,"11,233",54,0.64%,0.49%,0.57%,0.35%,0.62%,0.43%,8.50%,3.70%,239,0,3.05%,0.00%,"£1,257.49",£0.00,212,0
B01C2U97IQ,B004LXL0CY,"Rimmel London Hide The Blemish Stick Concealer, Instant Retouch and Imperfection Camouflage with Easy Application, 105 Golden Beige, 4.5 g",RIM-HTB-105_SNL,636,1,482,3,"1,118",4,0.07%,0.02%,0.11%,0.07%,0.08%,0.04%,757,1,679,5,"1,436",6,0.06%,0.01%,0.12%,0.09%,0.08%,0.05%,70.64%,80.00%,256,0,22.90%,0.00%,"£1,145.82",£0.00,209,0
B0H3XRSPFS,B07ZZ6P9C7,Rimmel Brow Pro Micro Dark Brown 003 Brown Eyebrow Cosmetic Defining & Filling Solid With Long Lasting Claim Eye Cosmetic Waterproof Pencil X1 X1 Standard Female Eyebrow 1 Mu,RIM-MBP-003_SNL,852,0,373,8,"1,225",8,0.09%,0.00%,0.09%,0.20%,0.09%,0.09%,"1,062",0,468,8,"1,530",8,0.08%,0.00%,0.08%,0.14%,0.08%,0.06%,21.69%,40.00%,247,3,20.16%,37.50%,"£1,414.33",£14.82,207,3
B0BXWHBJ7Q,B01N04V03R,RefectoCil Cream Hair Dye - Black 15ml,REFCIL-EBT-BLK_SNL,"1,487",19,579,5,"2,066",24,0.15%,0.36%,0.14%,0.12%,0.15%,0.26%,"2,073",21,825,7,"2,898",28,0.17%,0.31%,0.15%,0.12%,0.16%,0.22%,33.10%,20.00%,212,8,10.26%,33.33%,"£1,347.86",£49.78,198,4
B0H4YCPBRN,B08CFVWC1X,"Rimmel Lasting Finish 8HR Lip Liner, Pink Candy, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g",RIM-LASTLIP-120_SNL,"3,726",23,"1,736",10,"5,462",33,0.39%,0.43%,0.41%,0.24%,0.40%,0.35%,"4,635",35,"2,273",14,"6,908",49,0.37%,0.51%,0.40%,0.24%,0.38%,0.39%,25.55%,0.00%,207,0,3.79%,0.00%,£742.22,£0.00,192,0
B0BXWHBJ7Q,B01JXY0TUO,RefectoCil Cream Hair Dye - 1 Pure Black 15ml,REFCIL-EBT-BLK-V2_SNL,"1,222",9,663,3,"1,885",12,0.13%,0.17%,0.16%,0.07%,0.14%,0.13%,"1,653",11,887,4,"2,540",15,0.13%,0.16%,0.16%,0.07%,0.14%,0.12%,34.03%,22.22%,181,1,9.60%,8.33%,"£1,033.96",£5.68,173,1
B01M0M1D7R,B09N2Z6DBD,"Max Factor Crème Puff Pressed Powder, 41 Medium Beige, 14g",MF-CP-RLCH-41_SNL,"2,011",11,"1,047",15,"3,058",26,0.21%,0.21%,0.25%,0.37%,0.22%,0.28%,"2,575",14,"1,415",21,"3,990",35,0.21%,0.20%,0.25%,0.36%,0.22%,0.28%,8.33%,0.00%,195,1,6.38%,3.85%,"£1,092.00",£5.60,169,1
B08HQQX815,B001GNBVRQ,"MAX FACTOR - Pan Stik Foundation - Rich Creamy Foundation, Smoothing Effect, Full Coverage, Dewy Skin Look - Normal To Dry Skin - 013 Nouveau Beige",MF-PS-13_SNL,"6,062",26,"2,463",17,"8,525",43,0.63%,0.49%,0.58%,0.41%,0.62%,0.46%,"8,496",43,"3,596",24,"12,092",67,0.68%,0.62%,0.64%,0.42%,0.67%,0.53%,7.85%,20.00%,181,0,2.12%,0.00%,"£1,225.03",£0.00,151,0
B08PQZYLY9,B077L7FL43,"Bourjois Little Round Pot Blusher 95 Rose De Jaspe, 2.5g 29192115095",BJS-LRPB-95_SNL,"1,269",2,773,5,"2,042",7,0.13%,0.04%,0.18%,0.12%,0.15%,0.07%,"1,839",3,"1,141",7,"2,980",10,0.15%,0.04%,0.20%,0.12%,0.16%,0.08%,80.67%,66.67%,156,0,7.64%,0.00%,"£1,167.94",£0.00,151,0
B0CLGWXNPJ,B08PDQZWCM,"Rimmel Scandaleyes Exaggerate Eye Definer, 002 Chocolate Brown, 0.35g",RIM-SCD-EYE-002_SNL,"5,310",47,"1,944",13,"7,254",60,0.55%,0.89%,0.46%,0.32%,0.53%,0.64%,"6,945",63,"2,640",20,"9,585",83,0.55%,0.92%,0.47%,0.35%,0.53%,0.66%,4.28%,0.00%,153,0,2.11%,0.00%,£717.53,£0.00,147,0
B097QPWLHM,B07D8WGNWP,"Rimmel Scandaleyes WOW Wings Volumising Mascara, Black, 12 ml",RIM-MSC-SCAND-WOW-001_SNL,401,1,226,2,627,3,0.04%,0.02%,0.05%,0.05%,0.05%,0.03%,540,2,290,5,830,7,0.04%,0.03%,0.05%,0.09%,0.05%,0.06%,35.07%,80.00%,145,0,23.13%,0.00%,£889.23,£0.00,129,0
B0BXWHBJ7Q,B01N0YADPT,RefectoCil Cream Hair Dye - 3.1 Light Brown 15ml,REFCIL-EBT-LBROWN_SNL,"3,107",31,"1,249",15,"4,356",46,0.32%,0.59%,0.30%,0.37%,0.32%,0.49%,"4,609",42,"1,842",17,"6,451",59,0.37%,0.61%,0.33%,0.29%,0.36%,0.47%,11.65%,56.52%,133,8,3.05%,17.39%,£850.24,£49.26,125,6
B0C945X5PR,B084D1N7JJ,"ARMAF Club De Nuit Intense Man Eau De Parfum, 200ml",ARMAF-CLUBDENUIT-INT-EDP-200ML,"4,046",39,"1,615",29,"5,661",68,0.42%,0.74%,0.38%,0.71%,0.41%,0.72%,"6,232",84,"2,420",44,"8,652",128,0.50%,1.22%,0.43%,0.76%,0.48%,1.01%,26.03%,28.57%,124,2,2.19%,2.94%,"£5,464.55",£87.36,120,1
B08HQQX815,B003JM4OCG,"Max Factor Pan Stik Foundation, 012 True Beige, 1 Count",MF-PS-12_SNL,"2,086",11,977,8,"3,063",19,0.22%,0.21%,0.23%,0.20%,0.22%,0.20%,"2,772",17,"1,369",8,"4,141",25,0.22%,0.25%,0.24%,0.14%,0.23%,0.20%,16.76%,87.50%,135,2,4.41%,10.53%,£940.84,£12.50,117,1
B08R4W2L8T,B0052Z82WQ,Brow This Way Professional Pencil - 004 Brack Brown by Rimmel London for Women - 0.05 oz Eyebrow Pencil,RIM-EBP-BLKBRW-V3_SNL,295,2,159,3,454,5,0.03%,0.04%,0.04%,0.07%,0.03%,0.05%,359,2,202,7,561,9,0.03%,0.03%,0.04%,0.12%,0.03%,0.07%,99.09%,100.00%,138,1,30.40%,20.00%,£592.29,£4.26,117,1
B0GRBHC1KX,B073WYXK64,"Rimmel Magnif'eyes Nude Edition Eyeshadow Palette, 12 shade, Cream",RIM-MAGNIF-PAL-001_SNL,"7,358",31,"2,552",26,"9,910",57,0.77%,0.59%,0.61%,0.63%,0.72%,0.61%,"9,463",52,"3,410",37,"12,873",89,0.76%,0.76%,0.61%,0.64%,0.71%,0.70%,4.96%,5.56%,110,0,1.11%,0.00%,£805.72,£0.00,105,0
B0C7L7HSQ7,B01HD23OJG,Technic 12 g Get Gorgeous Bronzing Highlighting Powder,TECHNIC-GETGORG-HIGHL-BRNZ_SNL,459,4,134,3,593,7,0.05%,0.08%,0.03%,0.07%,0.04%,0.07%,600,5,181,4,781,9,0.05%,0.07%,0.03%,0.07%,0.04%,0.07%,63.08%,100.00%,97,1,16.36%,14.29%,£382.89,£3.84,94,1
B0H4YCPBRN,B08CFRGDJY,"Rimmel Lasting Finish 8HR Lip Liner, Spice, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g",RIM-LASTLIP-110_SNL,"4,903",31,"2,005",15,"6,908",46,0.51%,0.59%,0.48%,0.37%,0.50%,0.49%,"6,114",36,"2,533",18,"8,647",54,0.49%,0.52%,0.45%,0.31%,0.48%,0.43%,7.15%,0.00%,94,0,1.36%,0.00%,£333.98,£0.00,86,0
B0BXS352Y4,B01N41EG0I,Marion Hair Color Shampoo in Sachet Lasting 4 to 8 Washes Aloe and Keratin - 62 Dark Blonde,MARION-COLOR-SHAMP-62,"1,006",6,724,6,"1,730",12,0.10%,0.11%,0.17%,0.15%,0.13%,0.13%,"1,482",6,"1,052",8,"2,534",14,0.12%,0.09%,0.19%,0.14%,0.14%,0.11%,33.25%,0.00%,139,0,8.03%,0.00%,£415.61,£0.00,84,0
B017NILC9E,B017NILC9E,Technic Pink Back Combing Brush,TECHNIC-BACK-COMB-BRUSH-PINK,274,2,138,1,412,3,0.03%,0.04%,0.03%,0.02%,0.03%,0.03%,335,3,165,1,500,4,0.03%,0.04%,0.03%,0.02%,0.03%,0.03%,65.78%,100.00%,89,0,21.60%,0.00%,£256.49,£0.00,83,0
B01M0M1D7R,B09N2YJW23,"Max Factor Crème Puff Pressed Powder, 53 Tempting Touch, 14g",MF-CP-RLCH-53_SNL,630,7,411,10,"1,041",17,0.07%,0.13%,0.10%,0.24%,0.08%,0.18%,795,11,563,14,"1,358",25,0.06%,0.16%,0.10%,0.24%,0.07%,0.20%,21.62%,0.00%,114,0,10.95%,0.00%,£735.39,£0.00,83,0
B0H4YCPBRN,B08CFW2K93,"Rimmel Lasting Finish 8HR Lip Liner, Wine, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g",RIM-LASTLIP-880_SNL,"2,366",13,979,8,"3,345",21,0.25%,0.25%,0.23%,0.20%,0.24%,0.22%,"3,000",15,"1,254",11,"4,254",26,0.24%,0.22%,0.22%,0.19%,0.23%,0.21%,14.05%,16.67%,88,0,2.63%,0.00%,£321.87,£0.00,80,0
B08PQZYLY9,B077L7FL43,"Bourjois Little Round Pot Blusher 95 Rose De Jaspe, 2.5g 29192115095",BJS-LRPB-95_PRIME,"1,269",2,773,5,"2,042",7,0.13%,0.04%,0.18%,0.12%,0.15%,0.07%,"1,839",3,"1,141",7,"2,980",10,0.15%,0.04%,0.20%,0.12%,0.16%,0.08%,80.67%,66.67%,87,0,4.26%,0.00%,£635.96,£0.00,79,0
B01M0M1D7R,B09N2Y5QGC,"Max Factor Crème Puff Pressed Powder, 75 Golden, 14g",MF-CP-RLCH-75_SNL,475,5,256,1,731,6,0.05%,0.09%,0.06%,0.02%,0.05%,0.06%,571,5,321,4,892,9,0.05%,0.07%,0.06%,0.07%,0.05%,0.07%,46.95%,100.00%,88,0,12.04%,0.00%,£569.89,£0.00,78,0
B0B3SMR3L3,B00MGK9Q5M,"Rimmel London Brow This Way Eyebrow Powder Sculpting Kit, 1.3g",RIM-BTW-BSK-MEDBRW-V3_SNL,"3,219",18,"1,153",5,"4,372",23,0.34%,0.34%,0.27%,0.12%,0.32%,0.24%,"4,339",23,"1,592",10,"5,931",33,0.35%,0.33%,0.28%,0.17%,0.33%,0.26%,4.69%,0.00%,76,0,1.74%,0.00%,£346.10,£0.00,76,0
B0H3K42JGB,B078748C4T,"MAX FACTOR - Brow Shaper - Double Tipped Mechanical Pencil With Spoolie Brush - Utltra Fine Tip For Precise Application, Softening Effect, Matte Finish - 20 Brown - 1g",MF-BS-20_SNL,"1,363",11,570,3,"1,933",14,0.14%,0.21%,0.14%,0.07%,0.14%,0.15%,"1,689",13,755,4,"2,444",17,0.13%,0.19%,0.13%,0.07%,0.13%,0.13%,5.45%,0.00%,81,0,4.19%,0.00%,£468.42,£0.00,75,0
B08HQQX815,B001GNBVSA,"Max Factor Pan Stik Foundation, 25 Fair, Full Coverage and Smooth Texture for Dewy Skin Look, 9 g 774265",MF-PS-25_SNL,"1,476",6,810,6,"2,286",12,0.15%,0.11%,0.19%,0.15%,0.17%,0.13%,"1,852",7,"1,112",9,"2,964",16,0.15%,0.10%,0.20%,0.16%,0.16%,0.13%,16.20%,28.57%,81,3,3.54%,25.00%,£616.61,£20.05,74,1
B08R4W2L8T,B00IM54ZW4,"Rimmel Professional Eyebrow Pencil, 1 Ea, Dark Brown",RIM-EBP-DRKBRW-V3_SNL,522,5,238,2,760,7,0.05%,0.09%,0.06%,0.05%,0.06%,0.07%,716,7,306,2,"1,022",9,0.06%,0.10%,0.05%,0.03%,0.06%,0.07%,18.55%,50.00%,72,0,9.47%,0.00%,£321.40,£0.00,65,0
B0H4YF8BP1,B004LXONEQ,"Rimmel Soft Kohl Kajal Professional Eyeliner Pencil, Intense Long-Lasting Colour, Up to 12 Hours Wear, Smudge Proof, 1.2 grams,",RIM-ELP-064_SNL,"1,393",9,810,8,"2,203",17,0.15%,0.17%,0.19%,0.20%,0.16%,0.18%,"1,801",22,"1,107",12,"2,908",34,0.14%,0.32%,0.20%,0.21%,0.16%,0.27%,8.10%,28.57%,72,0,3.27%,0.00%,£216.78,£0.00,64,0
B08PQZYLY9,B077L6W662,"Bourjois Little Round Pot Blusher 74 Rose Ambre, 2.5g",BJS-LRPB-74_SNL,801,4,449,11,"1,250",15,0.08%,0.08%,0.11%,0.27%,0.09%,0.16%,"1,109",5,644,19,"1,753",24,0.09%,0.07%,0.11%,0.33%,0.10%,0.19%,40.84%,83.33%,67,1,5.36%,6.67%,£510.62,£6.82,64,1
B08R4Y54Z5,B07C595KFT,Rimmel London Brow This Way Fill & Sculpt Eyebrow Definer,RIM-BTW-F&S-003_SNL,"1,384",9,560,8,"1,944",17,0.14%,0.17%,0.13%,0.20%,0.14%,0.18%,"1,756",13,693,9,"2,449",22,0.14%,0.19%,0.12%,0.16%,0.14%,0.17%,6.51%,33.33%,76,2,3.91%,11.76%,£374.66,£9.96,63,1
B09F3YBTP7,B00JTRHG16,"Rimmel London Exaggerate Liquid Eyeliner, Black, 2.5 ml",RIM-EXAG-EYEL-001_SNL,"2,265",17,895,10,"3,160",27,0.24%,0.32%,0.21%,0.24%,0.23%,0.29%,"3,006",20,"1,206",14,"4,212",34,0.24%,0.29%,0.21%,0.24%,0.23%,0.27%,4.59%,0.00%,64,0,2.03%,0.00%,£300.80,£0.00,62,0
B08HQQX815,B001NJ179U,"Max Factor Pan Stik Foundation, 60 Deep Olive",MF-PS-60_SNL,534,2,336,2,870,4,0.06%,0.04%,0.08%,0.05%,0.06%,0.04%,626,2,441,2,"1,067",4,0.05%,0.03%,0.08%,0.03%,0.06%,0.03%,75.45%,100.00%,90,0,10.34%,0.00%,£515.55,£0.00,61,0
B0C5CNDJZS,B0931PB2TS,"Rimmel London Lasting Finish Exaggerate Lip Liners, 018 Rose Addiction, 4g",RIM-LAST-AUTOLIP-018_SNL,458,0,265,4,723,4,0.05%,0.00%,0.06%,0.10%,0.05%,0.04%,629,0,375,6,"1,004",6,0.05%,0.00%,0.07%,0.10%,0.06%,0.05%,23.96%,50.00%,81,2,11.20%,50.00%,£425.62,£10.48,60,2
B0C27F5YNK,B077L45Y1V,"Bourjois Little Round Pot Blusher 15 Rose Eclat, 2.5g",BJS-LRPB-15_SNL,874,6,410,6,"1,284",12,0.09%,0.11%,0.10%,0.15%,0.09%,0.13%,"1,042",9,578,9,"1,620",18,0.08%,0.13%,0.10%,0.16%,0.09%,0.14%,52.40%,100.00%,59,0,4.60%,0.00%,£438.43,£0.00,59,0
