(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B00W47PO7G,B00W47PO7G,L.A. GIRL Matte Pigment Gloss - Fleur,LAGIRL-MATTE-GLOSS-833,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,£5.99,£0.00,1,0
B00W9N8ZAI,B00W9N8ZAI,"7th Heaven Fresh Feet Cooling Deodorizing Cream - Mint and Iced Blueberry, 20ml",7H-FRESH-FEET-CRM-20ML,2,0,3,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,4,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,1,0,20.00%,0.00%,£1.99,£0.00,1,0
B0HB62MT1K,B00ZPJ2A4U,"Bourjois Volume Glamour Effet Push Up Volumizing and Curling Mascara 71 Waterproof Black, 7ml 29102305071",BJS-MSC-PU-71WP_SNL,155,0,87,1,242,1,0.02%,0.00%,0.02%,0.02%,0.02%,0.01%,201,0,101,1,302,1,0.02%,0.00%,0.02%,0.02%,0.02%,0.01%,0.00%,0.00%,1,0,0.41%,0.00%,£7.60,£0.00,1,0
B0HB62MT1K,B00ZPJ2A4U,"Bourjois Volume Glamour Effet Push Up Volumizing and Curling Mascara 71 Waterproof Black, 7ml 29102305071",BJS-MSC-PU-71WP,155,0,87,1,242,1,0.02%,0.00%,0.02%,0.02%,0.02%,0.01%,201,0,101,1,302,1,0.02%,0.00%,0.02%,0.02%,0.02%,0.01%,0.00%,0.00%,1,0,0.41%,0.00%,£6.43,£0.00,1,0
B0GVGL4VBX,B011ANPRN0,"L'Oréal Paris True Match Foundation, SPF16, Shade 5W Golden Sand 30ml",LOREAL-TM-FDT-5D5W,"1,284",10,482,6,"1,766",16,0.13%,0.19%,0.11%,0.15%,0.13%,0.17%,"1,578",11,565,8,"2,143",19,0.13%,0.16%,0.10%,0.14%,0.12%,0.15%,0.05%,25.00%,1,1,0.06%,6.25%,£13.49,£13.49,1,1
B0F8ZH2ZNW,B012T11JQ6,Rimmel Oh My Gloss! Lip Gloss 100 Love Bug Bllamyszczyk do ust,RIM-OMG-LIP-LOVEBUG,162,0,87,2,249,2,0.02%,0.00%,0.02%,0.05%,0.02%,0.02%,180,0,111,2,291,2,0.01%,0.00%,0.02%,0.03%,0.02%,0.02%,1.02%,100.00%,3,0,1.20%,0.00%,£26.91,£0.00,1,0
B013AUQ4ME,B013AUQ4ME,COLOUR X-PERT eye liner waterproof #02-mettalic anthracite Eyeliner,MF-CEXPERT-02ANTHRA,7,0,2,0,9,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,0,3,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,1,0,11.11%,0.00%,£5.25,£0.00,1,0
B014H0G2VE,B014H0G2VE,Technic Lipstick With Added Vitamin E-Heartbeat,TECHNIC-VITAMINE-LPK-HEARTBEAT,16,0,19,0,35,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19,0,21,0,40,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.89%,0.00%,1,0,2.86%,0.00%,£3.35,£0.00,1,0
B0CPXRCS1S,B014W5EUN6,Stargazer Lip Stain Pen - Deep Plum Shade 11 | Long Lasting Lip Colour | Lightweight Transfer Resistant Tint | Smooth Precision Application,STARGAZER-LIP-STAIN-11,65,0,22,0,87,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,75,0,25,0,100,0,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,2.04%,0.00%,1,0,1.15%,0.00%,£4.49,£0.00,1,0
B016WT4JKE,B016WT4JKE,3 Sachets of Montagne Jeunesse Smooth Heels,7H-SMOOTH-HEELS-MASK-2X7ML-3PK,6,0,2,0,8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,0,4,0,12,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,12.50%,0.00%,£3.25,£0.00,1,0
B017ND9IXQ,B017ND9IXQ,"Technic Colour Fix Blush Palette, 3.5 g, Pack of 8",TECHNIC-CFIX-PAL-BLUSH,184,2,102,0,286,2,0.02%,0.04%,0.02%,0.00%,0.02%,0.02%,293,3,134,0,427,3,0.02%,0.04%,0.02%,0.00%,0.02%,0.02%,7.69%,0.00%,1,0,0.35%,0.00%,£4.25,£0.00,1,0
B01872UVL0,B01872UVL0,Technic Eyeliner Pencil with Smudger & Sharpener - Black,TECHNIC-SMUDGE-EYELINER,678,1,265,2,943,3,0.07%,0.02%,0.06%,0.05%,0.07%,0.03%,836,1,334,2,"1,170",3,0.07%,0.01%,0.06%,0.03%,0.06%,0.02%,0.46%,100.00%,1,0,0.11%,0.00%,£2.34,£0.00,1,0
B0H6R42TK5,B01BNK0WGM,"Rimmel Super Gel, 25 Urban Purple, Long-Lasting Nail Polish, Glazed Finish, Easy Application, Gel-like Manicure, Chip Resistant, Clean Formula, 12ml",RIM-NAIL-SUPERGEL-025,268,2,82,3,350,5,0.03%,0.04%,0.02%,0.07%,0.03%,0.05%,314,2,111,6,425,8,0.03%,0.03%,0.02%,0.10%,0.02%,0.06%,4.78%,0.00%,1,0,0.29%,0.00%,£5.45,£0.00,1,0
B01CZ5I694,B01CZ5I694,Rimmel Soft Kohl Kajal Eye Pencil - Jet Black - Pack of 6 by Rimmel,RIM-ELP-061-6PK,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,£16.99,£0.00,1,0
B01DABUWK8,B01DABUWK8,Technic Dark Red Lip Liner Pencil & Sharpener,TECHNIC-LIP-PENCIL-BRIGHTRED,2,0,2,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,3,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,1,0,25.00%,0.00%,£3.99,£0.00,1,0
B071XHK4BM,B01DC7SX5G,Stargazer Everyday Brown Hair Mascara - Temporary Root Touch-Up & Grey Coverage - Washable Hair Colour Wand - Cruelty-Free,STARGAZER-HAIR-MSC-BRW,97,2,55,0,152,2,0.01%,0.04%,0.01%,0.00%,0.01%,0.02%,122,4,66,0,188,4,0.01%,0.06%,0.01%,0.00%,0.01%,0.03%,4.37%,0.00%,1,0,0.66%,0.00%,£4.69,£0.00,1,0
